slug	client	platform	version	support	notes
amp	apple-mail	macos	12.4	n	
amp	apple-mail	ios	13.1	n	
amp	gmail	desktop-webmail	2020-04	y	
amp	gmail	desktop-webmail	2022-02	y	1
amp	gmail	ios	2020-04	y	
amp	gmail	android	2020-04	y	
amp	gmail	mobile-webmail	2020-04	n	
amp	orange	desktop-webmail	2020-01	n	
amp	orange	desktop-webmail	2021-03	n	
amp	orange	ios	2020-01	n	
amp	orange	android	2020-01	n	
amp	outlook	windows	2007	n	
amp	outlook	windows	2010	n	
amp	outlook	windows	2013	n	
amp	outlook	windows	2016	n	
amp	outlook	windows	2019	n	
amp	outlook	windows-mail	2019-10	n	
amp	outlook	macos	2019-10	n	
amp	outlook	macos	16.80	n	
amp	outlook	outlook-com	2020-01	n	
amp	outlook	ios	2019-10	n	
amp	outlook	android	2019-10	n	
amp	yahoo	desktop-webmail	2019-10	y	
amp	yahoo	desktop-webmail	2021-01	y	
amp	yahoo	desktop-webmail	2022-02	y	1
amp	yahoo	ios	2019-10	n	
amp	yahoo	ios	2022-12	y	
amp	yahoo	android	2019-10	n	
amp	yahoo	android	2022-12	y	
amp	aol	desktop-webmail	2019-10	n	
amp	aol	ios	2019-10	n	
amp	aol	android	2019-10	n	
amp	samsung-email	android	5.0.10.2	n	
amp	sfr	desktop-webmail	2020-01	n	
amp	sfr	ios	2020-01	n	
amp	sfr	android	2020-01	n	
amp	thunderbird	macos	68.4	n	
amp	protonmail	desktop-webmail	2020-03	n	
amp	protonmail	ios	2020-03	n	
amp	protonmail	android	2020-03	n	
amp	hey	desktop-webmail	2020-06	n	
amp	mail-ru	desktop-webmail	2020-10	y	
amp	fastmail	desktop-webmail	2021-07	n	
amp	laposte	desktop-webmail	2021-08	n	
amp	free-fr	desktop-webmail	2022-12	n	
amp	t-online-de	desktop-webmail	2022-12	n	
amp	gmx	desktop-webmail	2022-06	n	
amp	gmx	ios	2022-06	n	
amp	gmx	android	2022-06	n	
amp	web-de	desktop-webmail	2022-06	n	
amp	web-de	ios	2022-06	n	
amp	web-de	android	2022-06	n	
amp	ionos-1and1	desktop-webmail	2022-06	n	
amp	ionos-1and1	android	2022-06	n	
bimi	apple-mail	macos	15	n	
bimi	apple-mail	macos	16	y	
bimi	apple-mail	ios	15	n	
bimi	apple-mail	ios	16	y	
bimi	gmail	desktop-webmail	2023-01	y	
bimi	gmail	ios	2023-01	y	
bimi	gmail	android	2023-01	y	
bimi	gmail	mobile-webmail	2023-01	n	
bimi	orange	desktop-webmail	2023-01	n	
bimi	orange	ios	2023-01	n	
bimi	orange	android	2023-01	n	
bimi	outlook	windows	2007	n	
bimi	outlook	windows	2010	n	
bimi	outlook	windows	2013	n	
bimi	outlook	windows	2016	n	
bimi	outlook	windows	2019	n	
bimi	outlook	windows-mail	2023-01	n	
bimi	outlook	macos	16.56	n	
bimi	outlook	outlook-com	2023-01	n	
bimi	outlook	ios	2023-01	n	
bimi	outlook	android	2023-01	n	
bimi	samsung-email	android	6.0	n	
bimi	sfr	desktop-webmail	2023-01	n	
bimi	sfr	ios	2023-01	n	
bimi	sfr	android	2023-01	n	
bimi	thunderbird	macos	78.14	n	
bimi	aol	desktop-webmail	2023-01	n	
bimi	aol	ios	2023-01	n	
bimi	aol	android	2023-01	n	
bimi	yahoo	desktop-webmail	2023-01	y	
bimi	yahoo	ios	2023-01	y	
bimi	yahoo	android	2023-01	y	
bimi	protonmail	desktop-webmail	2023-01	n	
bimi	protonmail	ios	2023-01	n	
bimi	protonmail	android	2023-01	n	
bimi	hey	desktop-webmail	2023-01	n	
bimi	mail-ru	desktop-webmail	2023-01	n	
bimi	fastmail	desktop-webmail	2023-01	y	
bimi	laposte	desktop-webmail	2022-08	y	
bimi	free-fr	desktop-webmail	2023-01	n	
bimi	gmx	desktop-webmail	2023-01	n	
bimi	t-online-de	desktop-webmail	2023-01	n	
css-accent-color	apple-mail	macos	16	n	
css-accent-color	apple-mail	macos	17	n	
css-accent-color	apple-mail	macos	18	n	
css-accent-color	apple-mail	macos	19	n	
css-accent-color	apple-mail	macos	20	n	
css-accent-color	apple-mail	macos	21	y	
css-accent-color	apple-mail	ios	11	n	
css-accent-color	apple-mail	ios	12	n	
css-accent-color	apple-mail	ios	13	n	
css-accent-color	apple-mail	ios	14	y	1
css-accent-color	apple-mail	ios	15	y	1
css-accent-color	gmail	desktop-webmail	2022-07	n	
css-accent-color	gmail	ios	2022-07	n	
css-accent-color	gmail	android	2022-07	n	
css-accent-color	gmail	mobile-webmail	2022-07	n	
css-accent-color	orange	desktop-webmail	2022-07	n	
css-accent-color	orange	ios	2022-07	n	
css-accent-color	orange	android	2022-07	n	
css-accent-color	outlook	windows	2007	n	
css-accent-color	outlook	windows	2010	n	
css-accent-color	outlook	windows	2013	n	
css-accent-color	outlook	windows	2016	n	
css-accent-color	outlook	windows	2019	n	
css-accent-color	outlook	windows	2021	n	
css-accent-color	outlook	windows-mail	2022-07	n	
css-accent-color	outlook	macos	2022-07	n	
css-accent-color	outlook	macos	16.80	n	
css-accent-color	outlook	outlook-com	2022-07	n	
css-accent-color	outlook	ios	2022-07	n	
css-accent-color	outlook	android	2022-07	n	
css-accent-color	yahoo	desktop-webmail	2022-07	n	
css-accent-color	yahoo	ios	2022-07	n	
css-accent-color	yahoo	android	2022-07	n	
css-accent-color	aol	desktop-webmail	2022-07	n	
css-accent-color	aol	ios	2022-07	n	
css-accent-color	aol	android	2022-07	n	
css-accent-color	samsung-email	android	2022-07	y	1
css-accent-color	sfr	desktop-webmail	2022-07	y	
css-accent-color	sfr	ios	2022-07	n	
css-accent-color	sfr	android	2022-07	n	
css-accent-color	protonmail	desktop-webmail	2022-07	n	
css-accent-color	protonmail	ios	2022-07	n	
css-accent-color	protonmail	android	2022-07	n	
css-accent-color	hey	desktop-webmail	2022-07	y	
css-accent-color	mail-ru	desktop-webmail	2022-07	y	1
css-accent-color	fastmail	desktop-webmail	2022-07	n	
css-align-items	apple-mail	macos	11	y	
css-align-items	apple-mail	macos	12	y	
css-align-items	apple-mail	macos	13	y	
css-align-items	apple-mail	ios	11	y	
css-align-items	apple-mail	ios	12	y	
css-align-items	apple-mail	ios	13	y	
css-align-items	apple-mail	ios	14	y	
css-align-items	gmail	desktop-webmail	2020-12	n	
css-align-items	gmail	ios	2020-12	n	
css-align-items	gmail	android	2020-12	n	
css-align-items	gmail	mobile-webmail	2020-12	n	
css-align-items	orange	desktop-webmail	2021-02	y	
css-align-items	orange	desktop-webmail	2021-03	n	
css-align-items	orange	ios	2021-03	y	
css-align-items	orange	ios	2024-04	n	
css-align-items	orange	android	2021-03	y	
css-align-items	orange	android	2024-04	n	
css-align-items	outlook	windows	2007	n	
css-align-items	outlook	windows	2010	n	
css-align-items	outlook	windows	2013	n	
css-align-items	outlook	windows	2016	n	
css-align-items	outlook	windows	2019	n	
css-align-items	outlook	windows-mail	2020-12	n	
css-align-items	outlook	macos	2020-12	y	
css-align-items	outlook	macos	16.80	y	
css-align-items	outlook	outlook-com	2020-12	y	
css-align-items	outlook	ios	2020-12	y	
css-align-items	outlook	android	4.2048.4	y	
css-align-items	yahoo	desktop-webmail	2020-12	n	
css-align-items	yahoo	ios	2021-03	n	
css-align-items	yahoo	android	6.16.2.1519779	n	
css-align-items	aol	desktop-webmail	2020-12	n	
css-align-items	aol	ios	2021-03	n	
css-align-items	aol	android	2021-03	n	
css-align-items	samsung-email	android	6.1.31.2	y	
css-align-items	sfr	desktop-webmail	2021-03	y	
css-align-items	sfr	ios	2021-03	y	
css-align-items	sfr	android	2021-03	y	
css-align-items	thunderbird	macos	2020-12	y	
css-align-items	protonmail	desktop-webmail	2021-03	y	
css-align-items	protonmail	ios	2021-03	y	
css-align-items	protonmail	android	2021-03	y	
css-align-items	hey	desktop-webmail	2021-03	y	
css-align-items	mail-ru	desktop-webmail	2020-12	y	
css-align-items	fastmail	desktop-webmail	2021-07	y	
css-align-items	laposte	desktop-webmail	2021-08	y	1
css-align-items	gmx	desktop-webmail	2022-06	n	
css-align-items	gmx	ios	2022-06	y	
css-align-items	gmx	android	2022-06	y	
css-align-items	web-de	desktop-webmail	2022-06	n	
css-align-items	web-de	ios	2022-06	y	
css-align-items	web-de	android	2022-06	y	
css-align-items	ionos-1and1	desktop-webmail	2022-06	y	
css-align-items	ionos-1and1	android	2022-06	y	
css-animation	apple-mail	macos	13	y	
css-animation	apple-mail	ios	13	y	
css-animation	gmail	desktop-webmail	2021-05	n	
css-animation	gmail	ios	2021-05	n	
css-animation	gmail	android	2021-05	n	
